iter	Passed	Remaining
0	14	7362
1	27	6842
2	43	7173
3	55	6924
4	67	6672
5	81	6717
6	94	6653
7	108	6696
8	124	6779
9	136	6707
10	150	6685
11	165	6717
12	177	6647
13	193	6700
14	207	6715
15	220	6659
16	235	6701
17	255	6849
18	273	6934
19	292	7019
20	306	6994
21	324	7048
22	342	7102
23	360	7140
24	375	7132
25	391	7146
26	406	7120
27	425	7167
28	522	8481
29	573	8985
30	623	9437
31	654	9573
32	674	9548
33	691	9473
34	718	9540
35	736	9494
36	774	9688
37	791	9617
38	805	9516
39	821	9444
40	835	9354
41	853	9303
42	867	9223
43	885	9178
44	901	9111
45	917	9059
46	932	8989
47	950	8950
48	966	8896
49	985	8866
50	1002	8827
51	1048	9031
52	1064	8973
53	1078	8911
54	1094	8856
55	1110	8806
56	1126	8757
57	1142	8710
58	1158	8660
59	1174	8615
60	1191	8576
61	1204	8511
62	1216	8436
63	1229	8378
64	1243	8324
65	1259	8280
66	1274	8236
67	1290	8199
68	1304	8150
69	1322	8122
70	1338	8087
71	1351	8036
72	1364	7981
73	1377	7930
74	1394	7899
75	1408	7859
76	1423	7818
77	1437	7777
78	1453	7744
79	1468	7710
80	1483	7674
81	1495	7624
82	1507	7574
83	1520	7531
84	1533	7488
85	1544	7436
86	1556	7387
87	1570	7352
88	1582	7308
89	1593	7261
90	1606	7222
91	1619	7181
92	1632	7143
93	1643	7100
94	1655	7059
95	1668	7023
96	1681	6984
97	1695	6954
98	1715	6949
99	1729	6917
100	1740	6877
101	1755	6850
102	1771	6828
103	1788	6808
104	1811	6813
105	1830	6803
106	1850	6797
107	1866	6772
108	1883	6755
109	1898	6731
110	1913	6705
111	1929	6682
112	1946	6666
113	1961	6641
114	1977	6619
115	1992	6597
116	2009	6577
117	2025	6556
118	2042	6540
119	2057	6516
120	2079	6514
121	2100	6508
122	2117	6488
123	2133	6469
124	2150	6450
125	2163	6423
126	2178	6397
127	2192	6370
128	2204	6341
129	2215	6305
130	2226	6272
131	2239	6243
132	2249	6208
133	2261	6177
134	2274	6150
135	2287	6123
136	2306	6110
137	2324	6096
138	2340	6079
139	2358	6063
140	2387	6078
141	2412	6081
142	2428	6063
143	2447	6050
144	2462	6028
145	2480	6014
146	2499	6002
147	2518	5989
148	2538	5979
149	2559	5971
150	2582	5969
151	2615	5987
152	2638	5984
153	2660	5977
154	2678	5960
155	2699	5952
156	2717	5936
157	2734	5919
158	2754	5906
159	2773	5893
160	2790	5875
161	2815	5873
162	2834	5861
163	2852	5843
164	2869	5825
165	2888	5810
166	2905	5792
167	2921	5774
168	2939	5756
169	2959	5745
170	2978	5729
171	2992	5706
172	3003	5677
173	3018	5655
174	3034	5634
175	3049	5614
176	3064	5592
177	3078	5569
178	3092	5546
179	3103	5517
180	3116	5493
181	3131	5470
182	3146	5450
183	3160	5427
184	3175	5407
185	3188	5383
186	3200	5357
187	3216	5337
188	3264	5372
189	3282	5356
