feature,importance
molar_refractivity,0.3319970143361137
branching_index,0.30480722205589944
dens,0.11479188334325738
mw,0.10119226261612495
temperature,0.03015834584222504
polymer_smiles_*OCCCCCC(=O)*,0.02020010329585996
polymer_smiles_*C(F)(F)C(c1ccccc1)(F)*,0.013163787750307746
mn,0.011367449523771488
polymer_smiles_*C1C(C2)CCC2C1*,0.009406108754637937
polymer_name_poly(e-caprolactone),0.00910302705758051
polymer_name_poly(trifluoro styrene),0.007797382771768757
polymer_name_poly(butylene succinate),0.005249112190764951
polymer_name_polyether ether ketone,0.0049149273012560595
polymer_name_poly(n-butyl glycidyl ether),0.004745054040566794
polymer_smiles_*c1ccc(cc1)Oc2ccc(cc2)C(=O)c3ccc(cc3)O*,0.0038899602207489053
dielectric_constant,0.0030069478008283874
polymer_name_poly(2-methyl-2- adamantylmethacrylate),0.002956167349742408
polymer_name_poly(4-methyl-2-pentyne),0.0028483562423491544
solvent_name_carbon dioxide,0.002586007470704672
polymer_name_poly (N-vinyl-2-pyrrolidone),0.002502174070101366
polymer_smiles_*C(C)=C(C(C)C)*,0.002196040788887554
polymer_smiles_*C(C)(C(=O)OC1(C)C2CC3CC(C2)CC1C3)C*,0.002031003664684729
"polymer_name_poly(2,2'-(m-phenylene)-5,5'-bibenzimidazole)",0.0017086779034734371
polymer_name_poly(norbornene),0.0016194890591645925
polymer_smiles_*[Si](C)(C)O*,0.0007368270903741096
polymer_name_polypropylene,0.0006332897908655975
polymer_name_polydimethylsiloxane,0.0006186236641510254
polymer_name_poly(2-dimethyl aminoethyl methacrylate),0.0005935196197081636
solvent_formula_H2O,0.0005920366957781933
polymer_smiles_*c1ccc(cc1)C(C)(C)c2ccc(cc2)Oc3ccc(cc3)S(=O)(=O)c4ccc(cc4)O*,0.0005053511920641468
"polymer_name_polysulfone, poly(bisphenol-A sulfone)",0.0003124851355438631
polymer_smiles_*c1cccc(c1)c2nc3ccc(cc3[nH]2)c4ccc5[nH]c(nc5c4)*,0.00027140649998654573
polymer_smiles_*C([Cl])C*,0.0002678038038360079
polymer_name_poly(vinyl chloride),0.0002447806466746939
polymer_smiles_*N1C(=O)c2ccc(cc2C1=O)C(C(F)(F)F)(C(F)(F)F)c3ccc(C4=O)c(c3)C(=O)N4c5c(C)c(c(C)cc5(C))*,0.00023413294804931837
polymer_smiles_*CC(C)(C(=O)OCCN(C)C)*,0.0002082634866290873
polymer_name_poly(ethylene terephthalate),0.00016978696089341917
polymer_smiles_*C(C)(C(=O)OC)C*,7.748108748994648e-05
polymer_smiles_*C*,6.791189553617041e-05
polymer_smiles_*C(C)C*,5.420242115899195e-05
polymer_smiles_*C(F)(F)C*,4.839567271215446e-05
polymer_smiles_*C(C)(C(=O)OCCCC)C*,4.216575841335095e-05
polymer_smiles_*CC(O)*,4.0116062826133686e-05
solvent_formula_CO2,2.7447378825865964e-05
polymer_smiles_*C(C)=C([Si](C)(C)C)*,6.580848178690479e-06
solvent_name_methane,5.750254098281006e-06
polymer_smiles_*C(C(=O)OCCCCCCCCCCCCCCCCCCCCCC)C*,3.130210987883865e-06
solvent_smiles_O=C=O,5.424398300989368e-09
solvent_formula_C3H8,8.886541585308958e-17
solvent_smiles_N#N,5.874965634803002e-17
solvent_name_m-xylene,0.0
solvent_formula_He,0.0
solvent_name_hydrogen,0.0
solvent_name_hexafluoroethane,0.0
solvent_name_hydrogen sulfide,0.0
solvent_formula_Kr,0.0
solvent_formula_H2,0.0
solvent_name_helium,0.0
"solvent_name_isooctane, 2,2,4-trimethylpentane",0.0
solvent_name_isopentane,0.0
solvent_name_krypton,0.0
solvent_formula_ClO2,0.0
solvent_formula_H2S,0.0
solvent_name_isobutanol,0.0
"solvent_name_1-chloro-1,1-difluoroethane",0.0
solvent_name_methanol,0.0
solvent_name_neon,0.0
solvent_name_octane,0.0
solvent_name_octafluoropropane,0.0
solvent_name_nonane,0.0
solvent_name_nitromethane,0.0
solvent_name_nitrogen,0.0
solvent_name_nitrobenzene,0.0
solvent_name_neopentane,0.0
solvent_name_n-pentane,0.0
solvent_name_ethylbenzene,0.0
solvent_name_n-hexane,0.0
solvent_formula_CO,0.0
solvent_name_n-heptane,0.0
solvent_name_n-butane,0.0
solvent_name_methylethylketone,0.0
solvent_formula_Cl2,0.0
solvent_name_methylacetate,0.0
solvent_formula_N2,0.0
solvent_name_ethene,0.0
solvent_name_ethyl acetate,0.0
solvent_name_R22,0.0
solvent_formula_Xe,0.0
"solvent_name_1,1-difluoroethane",0.0
