feature,importance
molar_refractivity,0.6695318721355691
dens,0.10720061056942366
branching_index,0.08179326493747455
polymer_smiles_*C(C)(C(=O)OCCCC)C*,0.03023829451256349
mw,0.016488159013184046
mn,0.008606805061770147
polymer_smiles_*OCCCCCC(=O)*,0.00775077848403486
polymer_name_poly(e-caprolactone),0.005784443269087966
polymer_smiles_*c1cccc(c1)c2nc3ccc(cc3[nH]2)c4ccc5[nH]c(nc5c4)*,0.0055564447581633045
polymer_name_poly(butyl methacrylate),0.004650668225366669
polymer_name_poly(butylene succinate),0.004447725287153676
polymer_smiles_*c1ccc(cc1)Oc2ccc(cc2)C(=O)c3ccc(cc3)O*,0.003650133499283678
polymer_name_polyether ether ketone,0.003342550585433454
polymer_smiles_*c1ccc(cc1)C(C)(C)c2ccc(cc2)Oc3ccc(cc3)S(=O)(=O)c4ccc(cc4)O*,0.003019803172316198
polymer_smiles_*c1cc(C)c(c(C)c1)O*,0.0028171067457064443
polymer_name_poly(norbornene),0.002137334457988678
polymer_smiles_*C(C)C*,0.002033499772758225
polymer_smiles_*C(F)(F)C(c1ccccc1)(F)*,0.0018538839215911968
polymer_name_6FDA-DAM,0.0018149760769523955
polymer_smiles_*c1ccc2c(c1)C(C)(CC2(C)C)c1ccc(cc1)N3C(=O)c4ccc(cc4C3=O)C(=O)c5ccc(C6=O)c(c5)C(=O)N6*,0.0017542824279317354
polymer_smiles_*[Si](C)(C)O*,0.001687011056152381
polymer_name_poly(trifluoro styrene),0.0016587218947951413
"polymer_name_poly(2,2'-(m-phenylene)-5,5'-bibenzimidazole)",0.0015017300745039286
"polymer_name_poly(2,6-dimethyl-1,4-phenylene ether)",0.0013960724341230786
polymer_name_poly (N-vinyl-2-pyrrolidone),0.0013874323385550148
"polymer_name_polysulfone, poly(bisphenol-A sulfone)",0.0013582603883996298
"polymer_name_5(6)-amino-1-(4'-aminophenyl)-1,3,-trimethylindane",0.0013563287115109484
