feature,importance
molar_refractivity,0.6714609455728332
dens,0.10220320982974675
branching_index,0.09217883859540796
mw,0.0261174388395362
polymer_name_poly(e-caprolactone),0.013902729544487536
polymer_smiles_*OCCCCCC(=O)*,0.01273506401808557
polymer_smiles_*C(C)(C(=O)OCCCC)C*,0.007641524679875766
polymer_name_poly(butyl methacrylate),0.006708660545082914
mn,0.006655523261948771
polymer_name_polypropylene,0.006287420034729453
polymer_smiles_*C(C)C*,0.0054728003645424
polymer_name_polyether ether ketone,0.004151445612670279
polymer_smiles_*c1ccc(cc1)Oc2ccc(cc2)C(=O)c3ccc(cc3)O*,0.003903341294983819
"polymer_name_poly(2,2'-(m-phenylene)-5,5'-bibenzimidazole)",0.003370605344107588
polymer_smiles_*c1cccc(c1)c2nc3ccc(cc3[nH]2)c4ccc5[nH]c(nc5c4)*,0.0025851200349774673
polymer_smiles_*c1ccc(cc1)C(C)(C)c2ccc(cc2)Oc3ccc(cc3)S(=O)(=O)c4ccc(cc4)O*,0.002361759034818695
polymer_name_poly(butylene succinate),0.0020712542873522824
polymer_smiles_*c1cc(C)c(c(C)c1)O*,0.001829238185558747
"polymer_name_poly(2,6-dimethyl-1,4-phenylene ether)",0.0017668895446048146
"polymer_name_polysulfone, poly(bisphenol-A sulfone)",0.0015052012982971136
polymer_smiles_*c1ccc2c(c1)C(C)(CC2(C)C)c1ccc(cc1)N3C(=O)c4ccc(cc4C3=O)C(=O)c5ccc(C6=O)c(c5)C(=O)N6*,0.0010007420005860687
temperature,0.0008955706177588653
polymer_name_poly(vinyltrimethyl silane),0.000832561825612718
polymer_name_poly(norbornene),0.000813091949888813
polymer_smiles_*C(F)(F)C(c1ccccc1)(F)*,0.0008031914013955292
polymer_smiles_*C(C)(C(=O)OCC)C*,0.0007665889409920154
polymer_smiles_*C*,0.0007567792967757809
polymer_name_polyethylene,0.0007421540117894626
polymer_name_poly(propylene sebacate),0.0007382244584339103
polymer_name_poly(ethyl methacrylate),0.0007100485000729065
"polymer_name_5(6)-amino-1-(4'-aminophenyl)-1,3,-trimethylindane",0.0007080063267926109
polymer_name_poly(trifluoro styrene),0.0006905489441424581
polymer_smiles_*CC([Si](C)(C)C)*,0.0006852219440098363
polymer_smiles_*Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Oc2c(C)cc(cc2)C(C)(C)c3cc(C)c(cc3)*,0.0006657156634528188
polymer_name_polydimethylsiloxane,0.0006299460465396736
polymer_smiles_*OCCCOC(=O)CCCCCCCCC(=O)*,0.0005964940455652384
polymer_smiles_*[Si](C)(C)O*,0.0005408884956700397
polymer_smiles_*C(C(=O)OCC)C*,0.00047868031889466257
polymer_smiles_*C1C(C2)CCC2C1*,0.00046908666825070137
polymer_name_poly(ethyl acrylate),0.0004662828812586117
polymer_smiles_*C(C)(C(=O)OC1(C)C2CC3CC(C2)CC1C3)C*,0.000437900226549103
polymer_name_poly(2-methyl-2- adamantylmethacrylate),0.00037852991421422484
"polymer_name_3,3'-dimethyl bisphenol-A (bisphenol-C) polysulfone",0.00036012632201487207
polymer_smiles_*C(C)=C([Si](C)(C)C)*,0.0003592653562841114
dielectric_constant,0.00034124788673378984
"polymer_name_3,3'-dimethylbisphenol-Z polysulfone",0.00028113567205273666
polymer_smiles_*C(C)=C(c1ccccc1)*,0.000279915668907809
polymer_name_poly(1-phenyl-1-propyne),0.0002788175592959957
polymer_smiles_*C(C(=O)OCCCCCCCCCC)C*,0.00023629275148621005
solvent_formula_CO2,0.00021332490109621054
"polymer_name_Polyether-imide poly(bisphenol-A-co-4-nitrophthalicanhydride-co-1,3-phenylenediamine)",0.000212989290924005
"polymer_name_polyethersulfone, poly(oxy-1,4-phenylenesulfonyl-1,4-phenylene)",0.0001992548190246542
polymer_smiles_*c1ccc(cc1)S(=O)(=O)c2ccc(cc2)O*,0.00019873663137343875
polymer_smiles_*Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Oc2c(C)cc(cc2)C3(CCCCC3)c4cc(C)c(cc4)*,0.00019823836413333044
"polymer_name_polyphenylenesulfone, biphenol polysulfone",0.00018857377633299999
polymer_smiles_*CC(c1ccncc1)*,0.00017641358164343152
"polymer_name_3,3',5,5'-tetramethyl bisphenol-A polysulfone",0.00017630715253923328
polymer_smiles_*c1ccc(cc1)C(C)(C)c2ccc(cc2)Oc3ccc(c4c3)C(=O)N(C4(=O))c5cccc(c5)N(C(=O)c6cc7)C(=O)c6cc7O*,0.00017160827324665126
polymer_smiles_*C(C)=C(C(C)C)*,0.00017076067531680153
polymer_name_poly(4-methyl-2-pentyne),0.00016951884454485016
solvent_formula_C9H20,0.0001584892271972591
solvent_smiles_CCCCCCCCC,0.00014867347408449493
polymer_smiles_*Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Oc2c(C)cc(cc2(C))C(C)(C)c3cc(C)c(c(C)c3)*,0.00014578813015291454
polymer_name_poly(1-vinylimidazole),0.0001447960881424292
polymer_name_poly(decyl acrylate),0.00014360519140841792
polymer_name_poly(4-vinylpyridine),0.00014203428479698437
solvent_name_nonane,0.00014116003263421695
polymer_smiles_*N1C(=O)c2ccc(cc2C1=O)C(C(F)(F)F)(C(F)(F)F)c3ccc(C4=O)c(c3)C(=O)N4c5c(C)c(c(C)cc5(C))*,0.0001406014469992171
polymer_name_poly(vinyl alcohol),0.0001382612963265748
solvent_smiles_CCCCCCC,0.00012906991063733067
"polymer_name_polycarbonate, poly(bisphenol-A carbonate)",0.0001260676245163386
polymer_smiles_*CC(O)*,0.00012279368208906657
polymer_name_poly[1-phenyl-2-(p-tert-butylphenyl)acetylene,0.00012046287155538683
polymer_smiles_*Oc1ccc(cc1)C(C)(C)c2ccc(cc2)OC(=O)*,0.00011973594598745343
solvent_name_n-heptane,0.0001191098557291637
solvent_smiles_O=C=O,0.00011684825716706098
polymer_smiles_*CC(n1cn(cc1))*,0.00011245808015955533
polymer_name_poly(5-triisopropoxysilyl-2-norbornene),0.00011090895073818904
solvent_formula_C7H16,0.00010857466653822325
solvent_name_carbon dioxide,0.00010494554998474598
polymer_name_poly(vinyl acetate),0.00010132300547641922
polymer_name_poly(behenyl acrylate),0.00010122316011704697
polymer_smiles_*Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Oc2ccc(cc2)c3ccc(cc3)*,9.667932507956971e-05
polymer_smiles_*C(C(=O)OCCCCCCCCCCCCCCCCCCCCCC)C*,9.399912169095666e-05
polymer_name_poly(allyl glycidil ether),9.113511552772613e-05
polymer_smiles_*C(c1ccc(C(C)(C)C)cc1)=C(c2ccccc2)*,8.982116534825248e-05
polymer_smiles_*C(C)=C([Ge](C)(C)C)*,8.910702892241564e-05
polymer_smiles_*C1[C@@H]2CC([Si](OC(C)C)(OC(C)C)OC(C)C)[C@@H](C2)C1*,8.635618885200383e-05
polymer_smiles_*C1[C@@H]2CC(CC[Si](OC)(OC)OC)[C@@H](C2)C1*,8.631025396216265e-05
polymer_name_poly (N-vinyl-2-pyrrolidone),8.616182706695761e-05
solvent_smiles_CCCCOC(C)=O,8.555630145798704e-05
polymer_smiles_*C(N1C(=O)CCC1)C*,8.460828275652933e-05
polymer_smiles_*CC(OC(=O)C)*,8.425425599974146e-05
solvent_smiles_CCC,8.25866208056295e-05
polymer_name_poly(trimethylgermyl)propyne,7.32459622214735e-05
"polymer_name_3,3',5,5'-tetramethyl biphenol polysulfone",6.790086295198026e-05
polymer_smiles_*Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Oc2c(C)cc(cc2(C))c3cc(C)c(c(C)c3)*,6.580567635982202e-05
polymer_smiles_*OCC*,6.439980196755862e-05
polymer_name_polystyrene,6.33628587032405e-05
polymer_smiles_*Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Oc2c(C)c(C)c(cc2(C))c3c(C)c(C)c(c(C)c3)*,6.28350202287783e-05
solvent_name_butyl acetate,6.0546845450786006e-05
polymer_name_poly(trimethylsilyl)propyne,5.9397279240811444e-05
polymer_smiles_*CC(c1ccccc1)*,5.337545314250338e-05
polymer_name_poly(5-ethyltrimethoxysilyl-2-norbornene),4.967297036529382e-05
solvent_smiles_O,4.866805802103904e-05
"polymer_name_poly(4-methyl-2-methylene-1,3-dioxolane)",4.6993142550184725e-05
solvent_formula_C6H12O2,4.626911368443167e-05
