Complexity,Loss,Equation
1,16711.66,"348.39746"
3,10744.181,"molar_refractivity + 303.72165"
4,8412.159,"sqrt(molar_refractivity * 2902.8044)"
5,6189.665,"(molar_refractivity * 21.984018) / radius_of_gyration"
7,5321.5225,"molar_refractivity * (25.981045 / (radius_of_gyration + 0.4295007))"
8,4920.5083,"((sqrt(solvent_mol_mr) - molar_refractivity) * -24.385504) / radius_of_gyration"
10,4151.3755,"((molar_refractivity / radius_of_gyration) * 22.931541) + tan(dens + 0.66705203)"
12,3315.972,"((molar_refractivity * (0.27610716 / radius_of_gyration)) + cos(8.954561 / dens)) * 81.64262"
13,3210.649,"((molar_refractivity + (log10(mn) * cos(-9.003504 / dens))) * 23.04193) / radius_of_gyration"
14,3090.3577,"(((cos(8.964604 / dens) * 3.8114047) / dens) + (molar_refractivity / radius_of_gyration)) * 22.830412"
15,2965.8657,"((((log10(mn) * cos(-9.008118 / dens)) + molar_refractivity) * 26.434786) / radius_of_gyration) + -56.22691"
17,2872.588,"(((((cos(-8.955176 / dens) * log10(mn)) + 2.0298605) + molar_refractivity) * 29.006332) / radius_of_gyration) + -127.42382"
18,2677.1235,"((((cos(-9.074363 / dens) * log10(mn)) + molar_refractivity) / radius_of_gyration) + cos(radius_of_gyration / -0.15645626)) * 23.0224"
20,2533.7651,"((cos(molar_refractivity / 1.1911161) + ((molar_refractivity + (log10(mn) * cos(-8.965243 / dens))) / radius_of_gyration)) * 26.237572) + -55.115585"
22,2496.082,"(((((dens + (log10(mn) * cos(-8.964809 / dens))) + molar_refractivity) / radius_of_gyration) + cos(molar_refractivity / 1.1910945)) * 27.428635) + -87.87766"
23,2218.5488,"((cos(exp(radius_of_gyration / 1.2018149)) + (((molar_refractivity + 1.6285675) + (cos(-9.003504 / dens) * log10(mn))) / radius_of_gyration)) * 26.538267) + -76.78204"
25,2176.2683,"((((((4.7160435 * cos(-8.894054 / dens)) + 2.5296452) + molar_refractivity) / radius_of_gyration) + (cos(molar_refractivity / 1.1933508) - sin(tan(molar_refractivity)))) * 28.88039) - 134.41798"
26,2111.14,"((((((cos(-8.898633 / dens) * 4.530704) + (molar_refractivity + 2.5103784)) / radius_of_gyration) + cos(molar_refractivity / 1.1941115)) - tan(sin(tan(molar_refractivity)))) * 28.619364) - 129.72496"
27,2092.5972,"((cos(molar_refractivity / -0.8520172) + ((-2.8078976 + (((4.3357143 * cos(-8.812393 / dens)) + (3.639495 + molar_refractivity)) / radius_of_gyration)) - sin(tan(molar_refractivity)))) * 31.63239) - 116.20342"
28,1991.1265,"((((((molar_refractivity + (cos(-8.820267 / dens) * 4.1799855)) + 3.61028) / radius_of_gyration) - tan(sin(tan(molar_refractivity)))) + (cos(molar_refractivity / -0.8515267) + -2.6895514)) * 31.39441) - 115.57235"
30,1977.6055,"(((((cos(molar_refractivity / -0.8517319) + -2.5810018) + ((molar_refractivity + ((cos(-8.821239 / dens) * 4.157336) + 3.4748173)) / radius_of_gyration)) - tan(sin(tan(molar_refractivity)))) * 31.486013) - 115.732735) - radius_of_gyration"
